time,BVIV
1690502400,38.04
1690588800,37.59
1690675200,39.21
1690761600,39.69
1690848000,39.51
1690934400,39.1
1691020800,38.63
1691107200,36.54
1691193600,36.37
1691280000,36.73
1691366400,39.05
1691452800,43.1
1691539200,41.29
1691625600,39.43
1691712000,35.18
1691798400,34.7
1691884800,36.27
1691971200,37.42
1692057600,37.27
1692144000,39.19
1692230400,54.66
1692316800,46.52
1692403200,46.08
1692489600,46.41
1692576000,46.07
1692662400,45.43
1692748800,46.96
1692835200,45.1
1692921600,39.07
1693008000,38.26
1693094400,38.86
1693180800,38.96
1693267200,43.35
1693353600,40.45
1693440000,38.43
1693526400,38.46
1693612800,37.55
1693699200,40.04
1693785600,40.95
1693872000,42.4
1693958400,41.93
1694044800,42.51
1694131200,42.79
1694217600,42.49
1694304000,43.51
1694390400,47.2
1694476800,46.23
1694563200,46.77
1694649600,45.03
1694736000,41.21
1694822400,41.3
1694908800,41.63
1694995200,43.31
1695081600,44.21
1695168000,45.03
1695254400,45.06
1695340800,39.49
1695427200,39.84
1695513600,41.03
1695600000,41.41
1695686400,41.82
1695772800,39.43
1695859200,41.37
1695945600,35.7
1696032000,38.44
1696118400,39.8
1696204800,40.61
1696291200,40.2
1696377600,40
1696464000,38.72
1696550400,37.48
1696636800,39.55
1696723200,40.03
1696809600,39.32
1696896000,41.17
1696982400,40.55
1697068800,39.61
1697155200,37.93
1697241600,38.71
1697328000,40.2
1697414400,45.1
1697500800,43.31
1697587200,42.22
1697673600,41.56
1697760000,46.73
1697846400,48.58
1697932800,51.7
1698019200,59.17
1698105600,57.7
1698192000,61.56
1698278400,58.04
1698364800,49.81
1698451200,52.75
1698537600,57.06
1698624000,56.87
1698710400,57.53
1698796800,62.95
1698883200,62.58
1698969600,60.85
1699056000,65.17
1699142400,62.7
1699228800,59.81
1699315200,58.18
1699401600,60.4
1699488000,61.3
1699574400,59.69
1699660800,61.38
1699747200,61.44
1699833600,59.55
1699920000,59.18
1700006400,63.64
1700092800,58.91
1700179200,58.4
1700265600,56.93
1700352000,59.31
1700438400,60.52
1700524800,58.39
1700611200,58.16
1700697600,56.51
1700784000,56.47
1700870400,55.3
1700956800,55.93
1701043200,53.67
1701129600,53.23
1701216000,54.36
1701302400,52.07
1701388800,54.1
1701475200,55.83
1701561600,56.96
1701648000,58.03
1701734400,59.26
1701820800,57.36
1701907200,56.02
1701993600,57.41
1702080000,57.52
1702166400,58.56
1702252800,59.55
1702339200,57.53
1702425600,57.38
1702512000,57.45
1702598400,56.16
1702684800,55.85
1702771200,56.39
1702857600,57.96
1702944000,59.55
1703030400,60.16
1703116800,60.89
1703203200,60.23
1703289600,60.18
1703376000,62.32
1703462400,61.78
1703548800,62.88
1703635200,67.35
1703721600,66.65
1703808000,65.73
1703894400,66.29
1703980800,68.08
1704067200,69.85
1704153600,66.53
1704240000,67.82
1704326400,68.36
1704412800,70.77
1704499200,74.61
1704585600,75.19
1704672000,70.55
1704758400,67.79
1704844800,65.98
1704931200,61.18
1705017600,60.59
1705104000,58.01
1705190400,60.76
1705276800,59.32
1705363200,58.14
1705449600,53.76
1705536000,50.83
1705622400,50.01
1705708800,50.84
1705795200,50.42
1705881600,51.49
1705968000,52.68
1706054400,49.89
1706140800,47.67
1706227200,46.13
1706313600,45.31
1706400000,47.44
1706486400,47.54
1706572800,48.93
1706659200,48
1706745600,46.96
1706832000,44.32
1706918400,43.51
1707004800,44.54
1707091200,44.26
1707177600,44.8
1707264000,46.07
1707350400,47.12
1707436800,49.72
1707523200,51.86
1707609600,53.22
1707696000,56.31
1707782400,54.43
1707868800,57.29
1707955200,57.55
1708041600,56.86
1708128000,57.29
1708214400,58.53
1708300800,58.45
1708387200,57.65
1708473600,56.25
1708560000,57.75
1708646400,54.27
1708732800,56.59
1708819200,57.62
1708905600,58.98
1708992000,60.99
1709078400,70.41
1709164800,68.4
1709251200,67.42
1709337600,67.56
1709424000,73.77
1709510400,77.64
1709596800,76.66
1709683200,77.64
1709769600,72.81
1709856000,74.71
1709942400,77.4
1710028800,82.71
1710115200,85.48
1710201600,80.78
1710288000,80
1710374400,78.29
1710460800,79.67
1710547200,78.76
1710633600,79.25
1710720000,77.16
1710806400,80.04
1710892800,80.98
1710979200,78.8
1711065600,75.13
1711152000,76.08
1711238400,75.58
1711324800,79.02
1711411200,78.13
1711497600,78.75
1711584000,79.55
1711670400,75.56
1711756800,77.58
1711843200,78.8
1711929600,76.06
1712016000,76.68
1712102400,74.77
1712188800,74.76
1712275200,74.48
1712361600,74.81
1712448000,80.21
1712534400,78.97
1712620800,76.06
1712707200,75.52
1712793600,71.95
1712880000,69.38
1712966400,76.06
1713052800,74.86
1713139200,73.37
1713225600,73.83
1713312000,73.8
1713398400,73.09
1713484800,73.19
1713571200,74.49
1713657600,74.76
1713744000,71.82
1713830400,67.07
1713916800,65.3
1714003200,62.09
1714089600,57.39
1714176000,57.23
1714262400,59.16
