time,NUPL
1279497600,99.31520855
1279584000,98.4015731
1279670400,97.78283199
1279756800,97.39336609
1279843200,96.34353644
1280102400,92.9984242
1280188800,92.04480205
1280275200,92.10652334
1280361600,91.57172986
1280448000,92.54001426
1280707200,90.42910155
1280793600,89.97559003
1280880000,89.58565009
1280966400,88.85546153
1281052800,89.12399635
1281312000,88.2027612
1281398400,89.3156022
1281484800,88.36919105
1281571200,88.00596746
1281657600,88.23171709
1281916800,86.27374292
1282003200,85.99046032
1282089600,86.68345923
1282176000,86.00925733
1282262400,85.57272448
1282521600,84.42915342
1282608000,83.93478424
1282694400,83.69250099
1282780800,83.39848162
1282867200,82.95695763
1283126400,82.33975433
1283212800,82.4259496
1283299200,80.73711394
1283385600,81.006864
1283472000,81.34143029
1283817600,80.12645972
1283904000,79.87682063
1283990400,79.70688142
1284076800,79.14417992
1284336000,78.70874003
1284422400,78.75133901
1284508800,78.47099133
1284595200,77.54860376
1284681600,77.62305116
1284940800,76.71780963
1285027200,76.30392223
1285113600,76.3359178
1285200000,75.9144645
1285286400,75.75835159
1285545600,75.0795676
1285632000,74.47217279
1285718400,72.99541179
1285804800,72.74293443
1285891200,72.12001049
1286150400,69.1388202
1286236800,69.07648827
1286323200,68.45310915
1286409600,69.06528825
1286496000,70.61380117
1286755200,77.42118604
1286841600,76.64082419
1286928000,76.39187304
1287014400,78.05123254
1287100800,77.05496099
1287360000,75.38516125
1287446400,75.1846363
1287532800,73.62887663
1287619200,73.81152177
1287705600,75.05620994
1287964800,75.86670197
1288051200,78.44114558
1288137600,80.47314352
1288224000,83.47191874
1288310400,80.99325018
1288569600,81.60874297
1288656000,81.62087155
1288742400,81.0709238
1288828800,80.70790379
1288915200,80.90564287
1289174400,85.14740059
1289260800,78.22069992
1289347200,74.53149332
1289433600,77.17640385
1289520000,75.6313471
1289779200,79.53893117
1289865600,77.81828258
1289952000,73.40566769
1290038400,75.58713553
1290124800,77.1509931
1290384000,77.11331804
1290470400,77.52387633
1290556800,77.19968587
1290729600,76.36919745
1290988800,74.84386974
1291075200,70.66812129
1291161600,67.07376368
1291248000,69.79820842
1291334400,72.56138495
1291593600,63.67765384
1291680000,64.70186158
1291766400,69.13809893
1291852800,69.22131473
1291939200,61.59691751
1292198400,66.12007277
1292284800,67.34236216
1292371200,69.41552549
1292457600,68.27646282
1292544000,69.36733328
1292803200,67.71071435
1292889600,70.58731074
